date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-02,4422.0,4430.0,4421.0,4425.75,110.0,,4422.0,,0.0,,,,,,,
2014-01-03,4500.0,4500.0,4422.0,4479.75,191.0,,4436.181818181818,,6.222222222222626,,,,,,,
2014-01-08,4450.0,4500.0,4410.0,4488.9,486.0,,4438.694214876033,,7.037670148781217,,,,,,,
2014-01-09,4400.0,4500.0,4400.0,4471.61,1157.0,,4431.65890308039,,3.6077484941042712,,,,,,,
2014-01-10,4455.0,4500.0,4455.0,4474.22,109.0,,4435.902738883955,,5.266838382958667,,,,,,,
2014-01-13,4401.0,4450.0,4400.0,4424.88,244.0,,4429.5567863596,,2.1989818755600936,,,,,,,
2014-01-14,4430.0,4430.0,4428.0,4429.54,182.0,,4429.637370657854,,2.0837212857113627,,,,,,,
2014-01-15,4430.0,4430.0,4430.0,4430.0,50.0,,4429.703303265516,,1.9696712932573064,,,,,,,
2014-01-16,4402.0,4430.0,4400.0,4404.1,550.0,,4424.666339035422,,-0.37574874405891023,,,,,,,
2014-01-17,4420.0,4420.0,4401.0,4407.58,120.0,,4423.817913756255,,-0.773149072508204,,,,,,,
2014-01-20,4430.0,4430.0,4402.0,4427.43,458.0,,4424.941929436935,,-0.27797099283088755,,,,,,,
2014-01-21,4420.0,4420.0,4405.0,4416.56,45.0,,4424.043396812038,,-0.6845639960138215,,,,,,,
2014-01-22,4420.0,4425.0,4420.0,4422.88,78.0,,4423.308233755303,,-0.9953184686401073,,,,,,,
2014-01-23,4421.0,4430.0,4421.0,4421.77,165.0,,4422.888554890702,,-1.1476723321657119,,49.869451697127936,21.0,,,,-79.0
2014-01-24,4450.0,4450.0,4450.0,4450.0,225.0,,4427.817908546938,,1.0594313056099054,,53.39805825242718,50.0,,,28.0,-50.0
2014-01-27,4450.0,4450.0,4450.0,4450.0,123.0,,4431.851016083859,,2.7765702661963587,,42.51497005988024,50.0,40.333333333333336,,-50.0,-50.0
2014-01-28,4421.0,4450.0,4421.0,4443.42,177.0,,4429.878104068612,,1.776874918892645,,45.367412140575084,21.0,40.333333333333336,,-29.0,-79.0
2014-01-29,4450.0,4450.0,4449.0,4449.73,30.0,,4433.536630601591,,3.2867788499925155,,58.56164383561644,50.0,40.333333333333336,,50.0,-50.0
2014-01-30,4500.0,4500.0,4449.0,4484.67,72.0,,4445.62087958312,,8.42089983475762,,57.8397212543554,100.0,57.0,,45.0,-0.0
2014-01-31,4450.0,4498.0,4421.0,4453.2,125.0,4436.1,4446.41708329528,,8.358790636669255,,58.65724381625442,50.0,66.66666666666667,67.15063520870785,49.0,-50.0
2014-02-03,4413.0,4450.0,4413.0,4431.61,165.0,4435.65,4440.341249968865,,5.26330575911652,,47.07903780068728,13.0,54.333333333333336,-45.652964714442454,-17.0,-87.0
2014-02-04,4412.0,4412.0,4412.0,4412.0,65.0,4431.25,4435.188295429071,,2.6983155472553335,,46.91780821917808,12.0,25.0,-89.95492383114802,-18.0,-88.0
2014-02-05,4412.0,4420.0,4412.0,4418.33,86.0,4429.35,4430.972241714695,,0.6579577966831494,,51.89393939393939,11.11111111111111,12.037037037037038,-74.65188682473021,10.0,-88.88888888888889
2014-02-06,4420.0,4420.0,4413.0,4414.4,50.0,4430.35,4428.977288675659,,-0.3099345468908723,,50.0,18.367346938775512,13.826152683295541,-57.62304921968551,0.0,-81.63265306122449
2014-02-07,4450.0,4450.0,4450.0,4450.0,1.0,4430.1,4432.799599825539,,1.3284396516992274,,53.64963503649634,47.368421052631575,25.615626367506067,82.71443133828338,20.0,-52.63157894736842
2014-02-10,4450.0,4450.0,4416.0,4437.55,58.0,4432.55,4435.926945311805,,2.5969272471566,,55.68181818181818,43.18181818181818,36.305862057741756,28.466382730882557,30.0,-56.81818181818182
2014-02-11,4453.0,4500.0,4451.0,4466.46,448.0,4433.7,4439.031137073295,,3.800478186649343,,56.17977528089887,46.590909090909086,45.71371610845295,130.70006422607312,33.0,-53.40909090909091
2014-02-12,4450.0,4450.0,4450.0,4450.0,211.0,4434.7,4441.025475787242,,4.460804669879508,,55.39033457249071,43.18181818181818,44.31818181818181,55.27250270186594,29.0,-56.81818181818182
2014-02-13,4451.0,4451.0,4451.0,4451.0,104.0,4437.15,4442.839025644106,,5.007091177597431,,50.20746887966805,44.31818181818182,44.69696969696969,52.75142314990393,1.0,-55.68181818181818
2014-02-14,4450.0,4451.0,4450.0,4450.77,86.0,4438.65,4444.141020981541,4438.290322580645,5.29826047934057,,50.0,43.18181818181818,43.56060606060606,44.97041420118583,0.0,-56.81818181818182
2014-02-17,4450.0,4450.0,4450.0,4450.0,58.0,4439.65,4445.2062898939885,4439.187096774193,5.466005539346952,,56.8075117370892,43.18181818181818,43.56060606060606,39.04026026840336,29.0,-56.81818181818182
2014-02-18,4451.0,4452.0,4450.0,4450.03,7081.0,4441.2,4446.259691731445,4440.088172043011,5.6149111500153595,,50.270270270270274,44.31818181818182,43.56060606060606,38.360941586748474,1.0,-55.68181818181818
2014-02-19,4499.0,4499.0,4453.0,4466.54,107.0,4445.15,4455.848838689364,4444.191397849462,9.496647327603569,,49.72677595628416,98.86363636363636,62.12121212121212,165.98168577403,-1.0,-1.1363636363636365
2014-02-20,4499.0,4500.0,4499.0,4499.64,165.0,4449.05,4463.694504382207,4448.189247311828,12.42966971941678,,68.42105263157895,98.86363636363636,80.68181818181819,215.64421564422017,49.0,-1.1363636363636365
2014-02-21,4500.0,4500.0,4499.0,4499.45,390.0,4451.55,4470.295503585442,4452.038709677419,14.665745157795754,,94.84536082474227,100.0,99.24242424242424,177.51952284326046,87.0,-0.0
2014-02-24,4500.0,4500.0,4500.0,4500.0,354.0,4454.05,4475.696321115362,4455.791397849463,16.250525114841366,,95.83333333333333,100.0,99.62121212121212,144.7358059689733,88.0,-0.0
2014-02-25,4500.0,4500.0,4470.0,4499.33,297.0,4458.0,4480.115171821659,4459.331182795699,17.306970663924403,,95.83333333333333,100.0,100.0,97.9242435488259,88.0,-0.0
2014-02-26,4500.0,4500.0,4500.0,4500.0,364.0,4460.5,4483.730595126812,4462.720430107527,17.937439733275824,,95.45454545454545,100.0,100.0,109.04518099344133,80.0,-0.0
2014-02-27,4500.0,4500.0,4480.0,4492.87,171.0,4460.5,4486.688668740118,4465.959139784946,18.226981713727582,,93.10344827586206,100.0,100.0,87.49561864703743,50.0,-0.0
2014-02-28,4500.0,4506.0,4500.0,4500.14,1220.0,4463.0,4489.1089107873695,4468.987096774194,18.24611595238639,,93.10344827586206,89.28571428571429,96.42857142857143,96.16161616161673,50.0,-10.714285714285714
2014-03-03,4520.0,4520.0,4502.0,4518.86,215.0,4468.35,4494.725472462393,4473.133333333333,19.648615815125595,,94.66666666666667,100.0,96.42857142857143,111.53089334907585,67.0,-0.0
2014-03-04,4500.0,4520.0,4500.0,4503.58,1718.0,4472.75,4495.68447746923,4475.795698924731,18.928083048724147,,77.17391304347827,71.42857142857143,86.90476190476191,85.66788469346405,50.0,-28.57142857142857
