date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-31,300.0,300.0,0.0,300.0,529.0,,300.0,,0.0,,,,,,,
2014-02-28,350.0,351.0,0.0,317.05,820.0,,309.09090909090907,,3.988603988603984,,,,,,,
2014-03-31,312.0,350.0,0.0,337.14285714285717,326.0,,309.61983471074376,,4.036785415702809,,,,,,,
2014-04-30,291.0,303.0,0.0,300.75,790.0,,306.23441021788125,,2.3533174692337866,,,,,,,
2014-05-31,257.0,300.0,0.0,281.3333333333333,395.0,,297.28269926917557,,-1.7047080440308946,,,,,,,
2014-06-30,250.0,250.0,0.0,250.7,90.0,,288.6858448565982,,-5.423050448508661,,,,,,,
2014-07-31,300.0,300.0,0.0,261.3636363636364,500.0,,290.7429639735803,,-4.285876543771792,,,,,,,
2014-08-31,300.0,0.0,0.0,300.0,0.0,,292.4260614329293,,-3.346086429875129,,,,,,,
2014-09-30,300.0,300.0,0.0,300.0,994.0,,293.8031411723967,,-2.571651595000219,,,,,,,
2014-10-31,550.0,550.0,0.0,338.45454545454544,431.0,,340.3843882319609,,18.007425857907435,,,,,,,
2014-11-30,353.0,353.0,0.0,362.85,145.0,,342.6781358261498,,18.210322143143912,,,,,,,
2014-12-31,353.0,0.0,0.0,353.0,0.0,,344.55483840321347,,18.161761430515526,,,,,,,
2015-01-31,485.0,485.0,0.0,373.77777777777777,223.0,,370.09032232990194,,28.446658177823622,,,,,,,
2015-02-28,425.0,427.0,0.0,443.3,131.0,,380.0739000881016,,31.39412248779064,,57.44934445768772,77.27272727272727,,,,-22.727272727272727
2015-03-31,750.0,750.0,0.0,593.3181818181819,1654.0,,447.333190981174,,59.271547545596206,,69.3298969072165,100.0,,,450.0,-0.0
2015-04-30,518.0,518.0,0.0,521.4,3006.0,,460.18170171186966,,61.93025324563655,,56.2407132243685,69.06666666666666,82.1131313131313,,168.0,-30.933333333333334
2015-05-31,526.0,526.0,0.0,510.1111111111111,1925.0,,472.14866503698426,,63.94570354343864,,58.1306990881459,70.13333333333334,79.73333333333333,,214.0,-29.86666666666667
2015-06-30,515.0,532.0,0.0,528.4090909090909,555.0,,479.93981684844164,,63.91854120076579,,58.575803981623274,68.66666666666667,69.28888888888889,,224.0,-31.333333333333336
2015-07-31,515.0,0.0,0.0,515.0,0.0,,486.3143956032704,,63.168843739118756,,60.14150943396226,68.66666666666667,69.15555555555555,,258.0,-31.333333333333336
2015-08-31,515.0,0.0,0.0,515.0,0.0,408.25,491.52996003903934,,61.861601069861194,,60.47430830039526,68.66666666666667,68.66666666666667,-62.177610483758535,265.0,-31.333333333333336
2015-09-30,515.0,0.0,0.0,515.0,0.0,419.0,495.7972400319412,,60.13243258460403,,58.8477366255144,68.66666666666667,68.66666666666667,-60.24303762608007,215.0,-31.333333333333336
2015-10-31,400.0,400.0,0.0,486.25,77.0,421.5,478.37956002613373,,48.91861189006232,,53.7593984962406,53.333333333333336,63.555555555555564,16.6979924273379,100.0,-46.666666666666664
2015-11-30,400.0,400.0,0.0,400.0,301.0,425.9,464.12873093047307,,39.575377877073095,,53.7593984962406,53.333333333333336,58.44444444444445,14.823292187798026,100.0,-46.666666666666664
2015-12-31,380.0,400.0,0.0,395.0,242.0,430.35,448.83259803402336,,30.208737235818546,,42.27272727272727,50.66666666666667,52.44444444444445,7.007258514796186,-170.0,-49.333333333333336
2016-01-31,391.0,391.0,0.0,383.11764705882354,418.0,437.05,438.3175802096555,,23.403434884569947,,52.078774617067836,52.13333333333333,52.044444444444444,4.6115463227646,38.0,-47.86666666666667
2016-02-29,350.0,380.0,0.0,376.5238095238095,345.0,442.05,422.25983835335444,,14.534284211830254,,49.84293193717278,46.666666666666664,49.82222222222222,-14.67384191360445,-3.0,-53.333333333333336
2016-03-31,354.0,360.0,0.0,357.4782608695652,308.0,444.75,409.8489586527445,,7.738974890318161,,42.07980652962515,47.199999999999996,48.666666666666664,-21.944292822618294,-131.0,-52.800000000000004
2016-04-30,351.0,351.0,0.0,351.6,20.0,447.3,399.1491479886091,,2.087504910326402,,45.1948051948052,46.800000000000004,46.88888888888889,-34.99150649731397,-74.0,-53.2
2016-05-31,396.0,396.0,0.0,363.1,178.0,452.1,398.5765756270438,,1.225669399958747,,13.877551020408177,74.43609022556392,56.14536340852131,-7.5219539213321385,-354.0,-25.563909774436087
2016-06-30,397.0,397.0,0.0,396.95238095238096,170.0,444.45,398.2899255130358,422.3311827956989,0.6162464855686949,,26.640926640926637,74.62406015037594,65.28671679197996,-1.4925373134328357,-121.0,-25.375939849624064
2016-07-31,408.0,413.0,0.0,402.85,1797.0,447.2,400.05539360157474,422.63440860215053,1.0092485157693432,,27.48091603053436,76.69172932330827,75.25062656641605,7.055740348755211,-118.0,-23.308270676691727
2016-08-31,408.0,0.0,0.0,408.0,0.0,449.95,401.4998674921975,422.705376344086,1.3056546817012986,,28.68525896414343,98.78934624697337,83.36837857355253,-162.4598439651216,-107.0,-1.2106537530266344
2016-09-30,408.0,420.0,0.0,409.7142857142857,70.0,446.1,402.6817097663434,422.6516129032258,1.523002479149966,,28.68525896414343,97.14285714285714,90.87464423771291,12.459646508815696,-107.0,-2.857142857142857
2016-10-31,601.0,601.0,0.0,444.10526315789474,461.0,454.9,438.7395807179173,434.84301075268814,17.071944457445625,,59.68468468468468,100.0,98.64406779661017,145.18635734267716,86.0,-0.0
2016-11-30,700.0,951.0,0.0,710.2380952380952,1209.0,452.4,486.2414751328414,452.7548387096774,36.95704777995712,,67.03499079189686,73.60672975814931,90.2498623003355,294.6333119521062,185.0,-26.393270241850686
2016-12-31,700.0,700.0,0.0,700.0,481.0,461.5,525.1066614723247,469.71397849462363,52.11538174739536,,85.04672897196262,73.60672975814931,82.40448650543287,173.70716510903418,300.0,-26.393270241850686
2017-01-31,800.0,800.0,0.0,768.421052631579,752.0,475.2,575.0872684773566,492.15698924731186,71.3748698216288,,87.87878787878788,84.12197686645636,77.111812127585,190.82712661701302,400.0,-15.878023133543639
2017-02-28,900.0,900.0,0.0,851.725,816.0,494.45,634.1623105723827,519.9763440860215,93.62803147726322,,92.76315789473685,94.6372239747634,84.12197686645636,190.97595549493172,520.0,-5.3627760252365935
2017-03-31,865.0,870.0,0.0,864.2082608695653,784.0,511.95,676.1327995592221,544.247311827957,107.20383583450086,,87.5,90.95688748685595,89.90536277602524,142.85448056728072,474.0,-9.04311251314406
2017-04-30,845.0,870.0,0.0,860.8644444444444,320.0,528.45,706.8359269120908,566.0129032258064,115.02301205929393,,90.50736497545009,88.85383806519454,91.4826498422713,117.24323424311893,495.0,-11.146161934805468
2017-05-31,855.0,875.0,0.0,851.6080952380953,1101.0,545.45,733.7748492917107,587.7892473118279,120.63606451963835,,90.59967585089142,89.90536277602523,89.90536277602524,103.70442297421954,501.0,-10.094637223974763
2017-06-30,905.0,905.0,0.0,896.055,175.0,570.7,764.906694875036,611.7118279569893,127.6475892162656,,91.71686746987952,95.16298633017875,91.3073957237995,101.89175426195747,554.0,-4.837013669821241
2017-07-31,1100.0,1100.0,0.0,943.7685714285714,1413.0,605.7,825.8327503523021,647.0279569892473,147.241831195489,,93.24324324324324,100.0,95.02278303540133,138.88129246692054,704.0,-0.0
2017-08-31,1170.0,1170.0,0.0,1112.9838095238094,701.0,645.2,888.4086139246108,685.5376344086021,166.49952127954748,,93.77123442808607,100.0,98.38766211005958,137.4477533960293,773.0,-0.0
2017-09-30,1050.0,1145.0,0.0,1100.35,422.0,678.15,917.7888659383178,714.7032258064517,170.11737509150714,,82.35887096774194,89.74358974358975,96.5811965811966,106.56298857821544,642.0,-10.256410256410255
2017-10-31,940.0,1039.0,0.0,1001.6,154.0,707.65,921.8272539495326,736.1268817204301,162.23828762120206,,74.13793103448276,80.34188034188034,90.02849002849003,72.59438440430206,532.0,-19.65811965811966
2017-11-30,912.0,913.0,0.0,912.0640909090909,430.0,735.55,920.040480504163,754.836559139785,151.98272578411172,,72.30088495575221,77.94871794871796,82.67806267806269,47.788423317844774,504.0,-22.05128205128205
2017-12-31,1144.0,1144.0,0.0,1061.0273684210526,1040.0,775.2,960.7603931397697,787.6838709677419,160.7228670709029,,73.22497861420017,97.77777777777777,85.35612535612535,105.11962048709418,543.0,-2.2222222222222223
2018-01-31,1144.0,0.0,0.0,1144.0,0.0,812.6,994.0766852961751,819.1784946236559,165.738956488521,,70.74766355140187,97.77777777777777,91.16809116809117,-64.80590311196667,444.0,-2.2222222222222223
2018-02-28,1099.0,1100.0,0.0,1130.5,772.0,847.7,1013.1536516059614,846.4172043010752,164.19043444832414,,67.89237668161434,93.93162393162393,96.4957264957265,90.2921695314722,399.0,-6.068376068376068
2018-03-31,970.0,1100.0,0.0,1030.4527272727273,829.0,875.8,1005.3075331321502,864.0774193548388,150.81549057696384,,57.43006993006993,82.90598290598291,91.53846153846155,65.44160273954135,170.0,-17.094017094017094
2018-04-30,970.0,0.0,0.0,984.1600000000001,0.0,903.9,998.8879816535774,880.7591397849462,138.61785089909506,,53.35249042145594,82.90598290598291,86.5811965811966,-151.30676726720037,70.0,-17.094017094017094
2018-05-31,927.0,955.0,0.0,959.722,152.0,929.85,985.8174395347451,893.4408602150538,124.0514055571856,,52.94676806083651,79.23076923076923,81.68091168091168,21.64465274818926,62.0,-20.76923076923077
2018-06-30,880.0,899.0,0.0,896.05,495.0,943.8,966.5779050738822,901.9569892473119,107.475969399767,,51.62187210379981,75.21367521367522,79.11680911680911,-9.250834091598456,35.0,-24.786324786324787
2018-07-31,999.0,999.0,0.0,908.6818181818181,350.0,958.75,972.4728314240854,917.0752688172043,102.75759669068123,,56.060606060606055,85.38461538461539,79.94301994301995,41.45240382502338,144.0,-14.615384615384617
2018-08-31,1000.0,1000.0,0.0,999.3333333333334,1348.0,973.75,977.4777711651607,930.9505376344086,97.96961127255781,1135.5958414134884,54.17032484635645,85.47008547008546,82.02279202279202,36.235045277282005,95.0,-14.529914529914532
2018-09-30,1000.0,1000.0,0.0,1000.0,3014.0,983.75,981.572721862404,943.4279569892473,93.10187783929791,1141.6975996552467,44.70338983050848,85.47008547008546,85.44159544159544,31.987429117988643,-100.0,-14.529914529914532
2018-10-31,1000.0,1050.0,0.0,1002.5766666666667,5171.0,988.75,984.9231360692395,954.516129032258,88.22713651307686,1145.8123486317604,40.274599542334094,87.33624454148472,86.09213849388522,41.72995011576661,-170.0,-12.663755458515283
2018-11-30,1000.0,1001.0,0.0,1000.0409090909092,3440.0,995.5,987.6643840566505,964.2086021505377,83.4024572801336,1147.8096380090496,46.684350132625994,87.41258741258741,86.73963914138587,25.46583850931676,-50.0,-12.587412587412588
2018-12-31,893.0,920.0,0.0,944.65,1123.0,997.9,970.4526778645322,965.6989247311828,70.13637004885152,1144.7825813402285,46.870838881491345,78.05944055944056,84.2694241711709,-28.47805788982257,-47.0,-21.94055944055944
2019-01-31,919.0,919.0,0.0,895.5238095238095,577.0,1001.1,961.0976455255263,967.8,61.017511163387326,1138.0947575953458,50.46728971962617,80.33216783216784,81.93473193473194,-23.580925780454436,7.0,-19.667832167832167
2019-02-28,900.0,900.0,0.0,898.232,607.0,1000.85,949.9889827027033,967.5763440860215,51.662080285449406,1127.4484636931697,27.238805970149258,81.81818181818183,80.06993006993008,-34.40120716171904,-244.0,-18.181818181818183
2019-03-31,900.0,900.0,0.0,900.0,254.0,990.85,940.9000767567571,966.2946236559139,43.74358509292881,1113.7772096530919,27.238805970149258,81.81818181818183,81.32284382284384,-29.383483530490416,-244.0,-18.181818181818183
2019-04-30,800.0,810.0,0.0,820.659,299.0,972.35,915.2818809828012,957.5032258064516,29.063925496590173,1095.1759340659341,24.703891708967845,72.72727272727273,78.7878787878788,-77.09896227641539,-299.0,-27.27272727272727
2019-05-31,781.0,800.0,0.0,795.8442857142857,196.0,958.9,890.8669935313827,947.058064516129,15.715885351349357,1072.4416677440208,30.353430353430355,74.38095238095238,76.30880230880233,-77.26315302178095,-189.0,-25.61904761904762
2019-06-30,800.0,800.0,0.0,791.2072222222223,20.0,951.9,874.3457219802223,937.6645161290322,6.5945902477977825,1047.3339344968758,33.0,76.19047619047619,74.43290043290044,-63.921993499458274,-170.0,-23.809523809523807
2019-07-31,730.0,730.0,0.0,754.3478260869565,40.0,942.8,848.1010452565455,923.5397849462365,-6.210921189432611,1018.8938784744666,31.309297912713475,69.52380952380952,73.36507936507935,-92.24101640407716,-197.0,-30.476190476190478
2019-08-31,730.0,0.0,0.0,730.0,0.0,922.1,826.6281279371735,909.5655913978495,-16.17294956687033,988.0984507649215,34.375,69.52380952380952,71.74603174603175,-225.26766595289064,-150.0,-30.476190476190478
2019-09-30,751.0,751.0,0.0,735.25,220.0,902.45,812.8775592213237,897.3118279569892,-22.118436762106512,956.8580262874381,17.5392670157068,71.52380952380952,70.19047619047619,-57.61868418929898,-248.0,-28.476190476190478
