date,Last Price,Max Price,Min Price,Avg Price,Quantity,SMA_20,EMA_10,WMA_30,MACD,HMA_50,RSI,STOCH_K,STOCH_D,CCI,MOMENTUM,WILLIAMS_R
2014-01-05,99.0,0.0,0.0,99.0,0.0,,99.0,,0.0,,,,,,,
2014-01-12,100.0,101.0,100.0,100.33333333333333,700.0,,99.18181818181819,,0.07977207977208423,,,,,,,
2014-01-19,99.0,99.0,0.0,99.0,410.0,,99.14876033057851,,0.06159040916875824,,,,,,,
2014-01-26,99.0,0.0,0.0,99.0,0.0,,99.12171299774604,,0.0466436255431546,,,,,,,
2014-02-02,101.0,101.0,0.0,100.6,2200.0,,99.46321972542857,,0.19394579078755214,,,,,,,
2014-02-09,101.0,0.0,0.0,101.0,0.0,,99.74263432080518,,0.3071432616680738,,,,,,,
2014-02-16,101.0,0.0,0.0,101.0,0.0,,99.97124626247695,,0.3923305307434646,,,,,,,
2014-02-23,101.0,0.0,0.0,101.0,0.0,,100.15829239657204,,0.45460168992512706,,,,,,,
2014-03-02,101.0,0.0,0.0,101.0,0.0,,100.31133014264984,,0.4982089891138912,,,,,,,
2014-03-09,101.0,0.0,0.0,101.0,0.0,,100.43654284398622,,0.5266966566935452,,,,,,,
2014-03-16,98.0,98.0,0.0,99.2,100.0,,99.99353505417054,,0.30369757395175156,,,,,,,
2014-03-23,98.0,0.0,0.0,98.0,0.0,,99.63107413523042,,0.12552225187255317,,,,,,,
2014-03-30,98.0,0.0,0.0,98.0,0.0,,99.33451520155216,,-0.015504251202301589,,,,,,,
2014-04-06,98.0,0.0,0.0,98.0,0.0,,99.09187607399721,,-0.12581841456632503,,42.857142857142854,97.02970297029702,,,,-2.9702970297029703
2014-04-13,98.0,0.0,0.0,98.0,0.0,,98.89335315145226,,-0.21081306205019246,,42.857142857142854,97.02970297029702,,,-1.0,-2.9702970297029703
2014-04-20,98.0,0.0,0.0,98.0,0.0,,98.73092530573365,,-0.27500188202131426,,33.33333333333333,97.02970297029702,97.02970297029702,,-2.0,-2.9702970297029703
2014-04-27,93.0,93.0,0.0,96.75,300.0,,97.68893888650933,,-0.7210187423175398,,20.0,92.07920792079209,95.37953795379538,,-6.0,-7.920792079207921
2014-05-04,93.0,0.0,0.0,93.0,0.0,,96.83640454350763,,-1.062245413577358,,20.0,92.07920792079209,93.72937293729372,,-6.0,-7.920792079207921
2014-05-11,106.0,106.0,0.0,98.204,1746.0,,98.50251280832441,,-0.28044584930994176,,61.904761904761905,100.0,94.71947194719473,,5.0,-0.0
2014-05-18,106.0,106.0,0.0,104.12,400.0,99.45,99.86569229771996,,0.3352711409201987,,61.904761904761905,100.0,97.35973597359737,91.10082790316999,5.0,-0.0
2014-05-25,106.0,0.0,0.0,106.0,0.0,99.8,100.98102097086178,,0.8138497384974386,,61.904761904761905,100.0,100.0,-43.01075268817204,5.0,-0.0
2014-06-01,106.0,0.0,0.0,106.0,0.0,100.1,101.89356261252325,,1.179529839294446,,61.904761904761905,100.0,100.0,-38.08402041617588,5.0,-0.0
2014-06-08,106.0,0.0,0.0,106.0,0.0,100.45,102.64018759206448,,1.452589407277344,,61.904761904761905,100.0,100.0,-34.496379196839996,5.0,-0.0
2014-06-15,106.0,0.0,0.0,106.0,0.0,100.8,103.25106257532548,,1.6499712407992462,,61.904761904761905,100.0,100.0,-35.273368606701915,5.0,-0.0
2014-06-22,106.0,0.0,0.0,106.0,0.0,101.05,103.75086937981175,,1.7858120363984682,,72.22222222222223,100.0,100.0,-31.548360315483574,8.0,-0.0
2014-06-29,106.0,0.0,0.0,106.0,0.0,101.3,104.15980221984597,,1.871888875840611,,72.22222222222223,100.0,100.0,-32.167395377888795,8.0,-0.0
2014-07-06,106.0,0.0,0.0,106.0,0.0,101.55,104.49438363441942,,1.9179959281005097,,72.22222222222223,100.0,100.0,-32.79030910609856,8.0,-0.0
2014-07-13,106.0,0.0,0.0,106.0,0.0,101.8,104.76813206452496,,1.9322621835394642,,72.22222222222223,100.0,100.0,-33.41713806830083,8.0,-0.0
2014-07-20,106.0,0.0,0.0,106.0,0.0,102.05,104.99210805279316,,1.9214193673330726,,72.22222222222223,100.0,100.0,-34.04791929382091,8.0,-0.0
2014-07-27,106.0,0.0,0.0,106.0,0.0,102.3,105.1753611341035,102.9978494623656,1.8910277664040365,,72.22222222222223,100.0,100.0,-34.682690280413226,8.0,-0.0
2014-08-03,106.0,0.0,0.0,106.0,0.0,102.7,105.32529547335741,103.27956989247312,1.8456665090789528,,100.0,100.0,100.0,-31.101568091612915,13.0,-0.0
